🇭🇰港澳台,#genre#
Astro AEC,https://o11.163189.xyz/stream/live/aec/$订阅源
Astro AEC,http://php.jdshipin.com/smt.php?id=AEC$订阅源
Astro AEC,https://hls-gateway.vpstv.net/streams/709009.m3u8$订阅源
Astro AOD,http://php.jdshipin.com/TVOD/iptv.php?id=aod$订阅源
Astro AOD,http://o11.163189.xyz/stream/live/aod/#http://cdn9.163189.xyz/smt1.1.php?id=Aodhd#https://cdn9.163189.xyz/smt3.1.1.php?id=Aodhd$订阅源
Astro AOD,https://o11.163189.xyz/stream/live/aod/#http://cdn9.163189.xyz/smt1.1.php?id=Aodhd#https://smt.1678520.xyz/smt3.2.1.php?id=Aodhd$订阅源
Astro AOD,https://o11.163189.xyz/stream/live/aod/$订阅源
Astro AOD,http://cdn9.163189.xyz/smt1.1.php?id=Aodhd$订阅源
Astro QJ,http://o11.163189.xyz/stream/live/qj/$订阅源
Astro QJ,https://smt.1678520.xyz/smt3.2.3.php?id=Quanjia$订阅源
Astro QJ,https://o11.163189.xyz/stream/live/qj/$订阅源
Astro QJ,http://php.jdshipin.com/smt.php?id=Quanjia$订阅源
Astro QJ,https://smart.dxjc.pp.ua/smart.php?id=Quanjia&token=tmxk$订阅源
Astro欢喜台,http://php.jdshipin.com/smt.php?id=Huahee$订阅源
澳视卫星,http://r.jdshipin.com/QFhCq$订阅源
澳视卫星,http://php.jdshipin.com/TVOD/iptv.php?id=as$订阅源
澳视卫星,http://cdn6.163189.xyz/163189/as#$订阅源
澳视卫星,http://cdn6.163189.xyz/163189/as$订阅源
澳视卫星,http://php.jdshipin.com:8880/TVOD/iptv.php?id=as$订阅源
澳视澳门,http://r.jdshipin.com/n2YZI$订阅源
澳视澳门,http://php.jdshipin.com/TVOD/iptv.php?id=asam$订阅源
澳视澳门,http://cdn6.163189.xyz/163189/asam$订阅源
澳视澳门,https://stream1.freetv.fun/ao-shi-ao-men-4.m3u8$订阅源
澳视澳门,http://php.jdshipin.com:8880/TVOD/iptv.php?id=asam$订阅源
澳门体育,http://cdn6.163189.xyz/163189/amty#http://115.190.252.60:20508/sports.php?id=amty$订阅源
澳门体育,http://cdn6.163189.xyz/163189/amty$订阅源
澳门综艺,http://cdn6.163189.xyz/163189/amzy$订阅源
澳门莲花,http://live-hls.macaulotustv.com/lotustv/macaulotustv.m3u8$订阅源
澳门莲花,http://php.jdshipin.com/amlh.php$订阅源
澳门莲花,http://anren.live/HK/BiIOU11uLA.m3u8$订阅源
澳门莲花,http://anren.live/HK/BiIOU11uLA.m3u8?zgangd$订阅源
澳门莲花,http://php.jdshipin.com:8880/amlh.php$订阅源
亚洲卫视,https://fenghuang.tv12.xyz/173.m3u8$订阅源
重温经典,http://php.jdshipin.com:8880/TVOD/iptv.php?id=cwjd$订阅源
重温经典,http://api.kkhk.itv888.vip:8080/streams/214856d804c/index.m3u8$订阅源
重温经典,http://php.jdshipin.com/TVOD/iptv.php?id=cwjd$订阅源
重温经典,http://php.jdshipin.com/yfy.php?id=cwjd$订阅源
重温经典,https://other.ottiptv.cc/cwjd.m3u8$订阅源
东森新闻,http://breezy-audrie-zspace-7524863c.koyeb.app/vipsir?token=leifeng&id=4gtv-4gtv152$订阅源
东森新闻,https://stream1.freetv.fun/dong-sen-xin-wen-1.m3u8$订阅源
东森新闻,https://stream1.freetv.fun/dong-sen-xin-wen-5.ctv$订阅源
东森新闻,https://stream1.freetv.fun/dong-sen-xin-wen-7.ctv$订阅源
东森新闻,https://stream1.freetv.fun/dong-sen-xin-wen-2.m3u8$订阅源
中天新闻,https://live.catvod.com/live.php?token=815e29cc8c01a08e58b6bc1f59358054ad9a6f8a4f65ad2ebe535c7da196a77e&id=ctinews$订阅源
中天新闻,https://stream1.freetv.fun/1b67bc523c86ffa05707cd3f9471cfe1ced1c17d0537471788e00679a1d6cde3.m3u8$订阅源
中天新闻,http://breezy-audrie-zspace-7524863c.koyeb.app/vipsir?token=leifeng&id=4gtv-4gtv009$订阅源
中天新闻,https://raw.githubusercontent.com/ChiSheng9/iptv/master/TV28.m3u8$订阅源
中天新闻,https://stream1.freetv.fun/0efa038ef8b00da22a46c019893c5170b1b49731e8b26ede0655c7f76e5dbfa7.m3u8$订阅源

☘️广东频道,#genre#
广东卫视,http://php.jdshipin.com/TVOD/gsyd.php?id=9900000520$订阅源
广东卫视,http://php.jdshipin.com/TVOD/hnyd.php?id=200000001898/460000089800010055$订阅源
广东卫视,http://php.jdshipin.com/TVOD/hljyd.php?id=3221226248$订阅源
广东卫视,http://[2409:8087:8:21::18]:6610/otttv.bj.chinamobile.com/PLTV/88888888/224/3221226961/1.m3u8?GuardEncType=2&accountinfo=%7E%7EV2.0%7E2MGyx659D_aaDPP0qt3NgA%7EtP4-l0lmSfjwLWEfK_el1vH_mv-s1zo4AQJwdedaVwG9xkuFTDg8J26cwOrNJzn20BErrHdLhuZ9EzLUCD3PMW-OMx4MGteHV2vLeW6BqoY%2CEND$订阅源
广东卫视,http://[2409:8087:1a09:df::401d]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226374/1.m3u8?icpid=88888888&from=5&hms_devid=980&online=1720054946&vqe=3$订阅源
大湾区卫视,https://php.17186.eu.org/gdtv/web/nfws.m3u8$订阅源
大湾区卫视,http://php.jdshipin.com/TVOD/hljyd.php?id=3221226442$订阅源
大湾区卫视,http://php.jdshipin.com/TVOD/hnyd.php?id=200000001898/460000089800010108$订阅源
大湾区卫视,https://t.freetv.fun/live/da-wan-qu-wei-shi-6.m3u8$订阅源
大湾区卫视,https://t.freetv.fun/live/da-wan-qu-wei-shi-1.m3u8$订阅源
广州南国都市,http://php.jdshipin.com/TVOD/iptv.php?id=gzngds$订阅源
广州南国都市,http://php.jdshipin.com/gztv.php?id=shenghuo$订阅源
广州南国都市,https://t.freetv.fun/live/yan-zhou-nan-guo-du-shi-2.m3u8$订阅源
广州南国都市,https://t.freetv.fun/live/yan-zhou-nan-guo-du-shi-3.m3u8$订阅源
广州南国都市,https://t.freetv.fun/live/yan-zhou-nan-guo-du-shi-4.m3u8$订阅源
东莞生活资讯,http://php.jdshipin.com:8880/0769.php?id=shzx$订阅源
河源公共,http://php.jdshipin.com:8880/chudian.php?id=hygg$订阅源
汕尾文化生活,https://gd.luzong.cc.cd/swwh$订阅源

📺央视频道,#genre#
CCTV-1,http://[2409:8087:2001:20:2800:0:df6e:eb02]/ott.mobaibox.com/PLTV/4/224/3221227896/index.m3u8$订阅源
CCTV-1,http://php.jdshipin.com/TVOD/gsyd.php?id=9900000501$订阅源
CCTV-1,http://php.jdshipin.com/TVOD/hnyd.php?id=200000001898/460000089800010011$订阅源
CCTV-1,http://php.jdshipin.com/TVOD/hljyd.php?id=3221226559$订阅源
CCTV-1,http://[2409:8087:8:21::18]:6610/otttv.bj.chinamobile.com/PLTV/88888888/224/3221226895/1.m3u8?$订阅源
CCTV-2,http://php.jdshipin.com/TVOD/gsyd.php?id=9900000502$订阅源
CCTV-2,http://php.jdshipin.com/TVOD/hnyd.php?id=200000001898/460000089800010211$订阅源
CCTV-2,http://php.jdshipin.com/TVOD/hljyd.php?id=3221226540$订阅源
CCTV-2,http://[2409:8087:8:21::18]:6610/otttv.bj.chinamobile.com/PLTV/88888888/224/3221226893/1.m3u8?$订阅源
CCTV-2,http://[2409:8087:1a09:df::401d]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225588/1.m3u8?icpid=88888888&from=5&hms_devid=980&online=1720054946&vqe=3$订阅源
CCTV-3,http://[2409:8087:2001:20:2800:0:df6e:eb21]/ott.mobaibox.com/PLTV/3/224/3221228499/index.m3u8$订阅源
CCTV-3,http://php.jdshipin.com/TVOD/gsyd.php?id=9900000003$订阅源
CCTV-3,http://php.jdshipin.com/TVOD/hnyd.php?id=200000001898/460000089800010212$订阅源
CCTV-3,http://php.jdshipin.com/TVOD/hljyd.php?id=3221226021$订阅源
CCTV-3,http://[2409:8087:8:21::18]:6610/otttv.bj.chinamobile.com/PLTV/88888888/224/3221226471/1.m3u8?$订阅源
CCTV-4,http://php.jdshipin.com/TVOD/gsyd.php?id=9900000503$订阅源
CCTV-4,http://php.jdshipin.com/TVOD/hnyd.php?id=200000001898/460000089800010017$订阅源
CCTV-4,http://php.jdshipin.com/TVOD/hljyd.php?id=3221226428$订阅源
CCTV-4,http://[2409:8087:8:21::18]:6610/otttv.bj.chinamobile.com/PLTV/88888888/224/3221226335/1.m3u8?$订阅源
CCTV-4,http://[2409:8087:1a09:df::401d]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226428/1.m3u8?icpid=88888888&from=5&hms_devid=980&online=1720054946&vqe=3$订阅源
CCTV-6,http://php.jdshipin.com/TVOD/gsyd.php?id=9900000006$订阅源
CCTV-6,http://php.jdshipin.com/TVOD/hnyd.php?id=200000001898/460000089800010214$订阅源
CCTV-6,http://php.jdshipin.com/TVOD/hljyd.php?id=3221226010$订阅源
CCTV-6,http://[2409:8087:8:21::18]:6610/otttv.bj.chinamobile.com/PLTV/88888888/224/3221226468/1.m3u8?$订阅源
CCTV-6,http://[2409:8087:1a09:df::401d]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226010/1.m3u8?icpid=88888888&from=5&hms_devid=980&online=1720054946&vqe=3$订阅源
CCTV-7,https://www.freetv.top/migu/673168121.m3u8?migutoken=44446ab398991313e6a822efdaec82f3b845a2e8f141c172aa857c477255724bbb28fc01d33f764c51106c446af1c57e8815b58822075b194f4cf55cde28fe55f54330d4586c92e75e8aa50a48$订阅源
CCTV-7,http://php.jdshipin.com/TVOD/gsyd.php?id=9900000504$订阅源
CCTV-7,http://php.jdshipin.com/TVOD/hnyd.php?id=200000001898/460000089800010215$订阅源
CCTV-7,http://php.jdshipin.com/TVOD/hljyd.php?id=3221225733$订阅源
CCTV-7,http://[2409:8087:8:21::18]:6610/otttv.bj.chinamobile.com/PLTV/88888888/224/3221226946/1.m3u8?$订阅源
CCTV-8,http://php.jdshipin.com/TVOD/gsyd.php?id=9900000008$订阅源
CCTV-8,http://php.jdshipin.com/TVOD/hnyd.php?id=200000001898/460000089800010216$订阅源
CCTV-8,http://php.jdshipin.com/TVOD/hljyd.php?id=3221226008$订阅源
CCTV-8,http://[2409:8087:8:21::18]:6610/otttv.bj.chinamobile.com/PLTV/88888888/224/3221226485/1.m3u8?$订阅源
CCTV-8,http://[2409:8087:1a09:df::401d]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226008/1.m3u8?icpid=88888888&from=5&hms_devid=980&online=1720054946&vqe=3$订阅源
CCTV-9,http://php.jdshipin.com/TVOD/gsyd.php?id=9900000505$订阅源
CCTV-9,http://php.jdshipin.com/TVOD/hnyd.php?id=200000001898/460000089800010052$订阅源
CCTV-9,http://php.jdshipin.com/TVOD/hljyd.php?id=3221225734$订阅源
CCTV-9,http://[2409:8087:8:21::18]:6610/otttv.bj.chinamobile.com/PLTV/88888888/224/3221226944/1.m3u8?$订阅源
CCTV-9,http://[2409:8087:1a09:df::401d]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225734/1.m3u8?icpid=88888888&from=5&hms_devid=980&online=1720054946&vqe=3$订阅源
CCTV-10,http://php.jdshipin.com/TVOD/gsyd.php?id=9900000506$订阅源
CCTV-10,http://php.jdshipin.com/TVOD/hnyd.php?id=200000001898/460000089800010203$订阅源
CCTV-10,http://php.jdshipin.com/TVOD/hljyd.php?id=3221226473$订阅源
CCTV-10,http://[2409:8087:8:21::18]:6610/otttv.bj.chinamobile.com/PLTV/88888888/224/3221226937/1.m3u8?$订阅源
CCTV-10,http://[2409:8087:1a09:df::401d]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225730/1.m3u8?icpid=88888888&from=5&hms_devid=980&online=1720054946&vqe=3$订阅源
CCTV-11,http://php.jdshipin.com/TVOD/gsyd.php?id=9900000508$订阅源
CCTV-11,http://php.jdshipin.com/TVOD/hnyd.php?id=200000001898/460000089800010092$订阅源
CCTV-11,http://php.jdshipin.com/TVOD/hljyd.php?id=3221226565$订阅源
CCTV-11,http://[2409:8087:8:21::18]:6610/otttv.bj.chinamobile.com/PLTV/88888888/224/3221226334/1.m3u8?$订阅源
CCTV-11,http://[2409:8087:5e00:24::1e]:6060/200000001898/460000089800010092/1.m3u8$订阅源
CCTV-12,http://php.jdshipin.com/TVOD/gsyd.php?id=9900000509$订阅源
CCTV-12,http://php.jdshipin.com/TVOD/hnyd.php?id=200000001898/460000089800010205$订阅源
CCTV-12,http://php.jdshipin.com/TVOD/hljyd.php?id=3221226568$订阅源
CCTV-12,http://[2409:8087:8:21::18]:6610/otttv.bj.chinamobile.com/PLTV/88888888/224/3221226942/1.m3u8?$订阅源
CCTV-12,http://[2409:8087:1a09:df::401d]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225731/1.m3u8?icpid=88888888&from=5&hms_devid=980&online=1720054946&vqe=3$订阅源
CCTV-13,https://event.pull.hebtv.com/jishi/cp1.m3u8$订阅源
CCTV-13,https://www.freetv.top/migu/608807423.m3u8?migutoken=ac19a58805588401a8e818b6dd00df9b327912af3611ba95f89235e7020821668a2b6dc65ccc3904967da59d0a9742565c56ea582baf8915d068035054818ef0f369dab64705a6a7f7120529ec$订阅源
CCTV-13,http://pull-hls-f11.douyincdn.com/media/stream-695505348295131820.m3u8?arch_hrchy=w1&exp_hrchy=w1&expire=1774918742&major_anchor_level=common&sign=a4d912bb7632093a3abd3ba49b433cfb&t_id=037-20260324085902304A0E23B51C7C6CBF90-Ll7Kft$订阅源
CCTV-13,http://pull-hls-f11.douyincdn.com/media/stream-695522156380160684.m3u8?arch_hrchy=w1&exp_hrchy=w1&expire=1774918775&major_anchor_level=common&sign=652227e1ccbd96789758df03130042e8&t_id=037-20260324085935D9CC04E5586526367433-KPv2OB$订阅源
CCTV-13,http://pull-hls-f11.douyincdn.com/media/stream-695440843385864876.m3u8?arch_hrchy=w1&exp_hrchy=w1&expire=1774918808&major_anchor_level=common&sign=b3878c1a2247d98cde883421739f259f&t_id=037-20260324090008721E99ACAF8E7B55FE8C-EJGazO$订阅源
CCTV-15,https://www.freetv.top/migu/673168223.m3u8?migutoken=4e8d5766579c6bef231494cabd07e5b49d965804790214280c9791e4c331fd90311cb62ea43d3a1899229bfa57be4afe5a567b32a6b78153fc9a9801e28a39435e078b48c211e71d6083519be4$订阅源
CCTV-15,http://php.jdshipin.com/TVOD/gsyd.php?id=9900000512$订阅源
CCTV-15,http://php.jdshipin.com/TVOD/hnyd.php?id=200000001898/460000089800010094$订阅源
CCTV-15,http://php.jdshipin.com/TVOD/hljyd.php?id=3221226476$订阅源
CCTV-15,http://[2409:8087:8:21::18]:6610/otttv.bj.chinamobile.com/PLTV/88888888/224/3221226333/1.m3u8?$订阅源
CCTV-16,http://[2409:8087:7000:20::4]:80/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226921/1.m3u8$订阅源
CCTV-16,http://[2409:8087:1e03:21::2]:6060/cms001/ch00000090990000001258/index.m3u8$订阅源
CCTV-16,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226921/index.m3u8$订阅源
CCTV-16,http://rrs01.hw.gmcc.net:8088/PLTV/81/224/3221226825/1.m3u8$订阅源
CCTV-16,http://hwottcdn.ln.chinamobile.com/PLTV/11/224/3221227071/index.m3u8#http://hwottcdn.ln.chinamobile.com/PLTV/11/224/3221227074/index.m3u8#http://hwottcdn.ln.chinamobile.com/PLTV/11/224/3221227346/index.m3u8$订阅源
CCTV-17,http://pull-hls-f11.douyincdn.com/media/stream-407300149638333100.m3u8?arch_hrchy=w1&exp_hrchy=w1&expire=1774918675&major_anchor_level=common&sign=d16ed2b4763ac4d27b9e4c5f44a1598a&t_id=037-2026032408575561E42E69F9AEF4397C87-YUgwCT$订阅源
CCTV-17,http://php.jdshipin.com/TVOD/gsyd.php?id=9900000513$订阅源
CCTV-17,http://php.jdshipin.com/TVOD/hnyd.php?id=200000001898/460000089800010210$订阅源
CCTV-17,http://php.jdshipin.com/TVOD/hljyd.php?id=3221225765$订阅源
CCTV-17,http://[2409:8087:8:21::18]:6610/otttv.bj.chinamobile.com/PLTV/88888888/224/3221226318/1.m3u8?$订阅源

📡卫视频道,#genre#
广东卫视,http://php.jdshipin.com/TVOD/gsyd.php?id=9900000520$订阅源
广东卫视,http://php.jdshipin.com/TVOD/hnyd.php?id=200000001898/460000089800010055$订阅源
广东卫视,http://php.jdshipin.com/TVOD/hljyd.php?id=3221226248$订阅源
广东卫视,http://[2409:8087:8:21::18]:6610/otttv.bj.chinamobile.com/PLTV/88888888/224/3221226961/1.m3u8?GuardEncType=2&accountinfo=%7E%7EV2.0%7E2MGyx659D_aaDPP0qt3NgA%7EtP4-l0lmSfjwLWEfK_el1vH_mv-s1zo4AQJwdedaVwG9xkuFTDg8J26cwOrNJzn20BErrHdLhuZ9EzLUCD3PMW-OMx4MGteHV2vLeW6BqoY%2CEND$订阅源
广东卫视,http://[2409:8087:1a09:df::401d]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226374/1.m3u8?icpid=88888888&from=5&hms_devid=980&online=1720054946&vqe=3$订阅源
香港卫视,http://webcast.hkstv.tv/livestream/mutfysrq/playlist.m3u8$订阅源
香港卫视,https://stream1.freetv.fun/ae7eaf28d8610cdc1651ef6a1f7dbb24b49c5a87627d0d881330afaea37a1616.m3u8$订阅源
香港卫视,https://stream1.freetv.fun/5335c88a9a7d8b74173b491f480d4f94e8d3bd596af54478106aa2399e6c7917.m3u8$订阅源
香港卫视,http://anren.live/HK/BSJDUFpB.m3u8$订阅源
香港卫视,https://stream1.freetv.fun/xiang-gang-wei-shi-13.m3u8$订阅源
浙江卫视,http://php.jdshipin.com/TVOD/gsyd.php?id=9900000531$订阅源
浙江卫视,http://php.jdshipin.com/TVOD/hnyd.php?id=200000001898/460000089800010070$订阅源
浙江卫视,http://php.jdshipin.com/TVOD/hljyd.php?id=3221226339$订阅源
浙江卫视,http://[2409:8087:8:21::18]:6610/otttv.bj.chinamobile.com/PLTV/88888888/224/3221226899/1.m3u8?GuardEncType=2&accountinfo=%7E%7EV2.0%7ETYfTgTra_pUx2cPrgZ_BDw%7EtP4-l0lmSfjwLWEfK_el1vH_mv-s1zo4AQJwdedaVwG9xkuFTDg8J26cwOrNJzn20BErrHdLhuZ9EzLUCD3PMW-OMx4MGteHV2vLeW6BqoY%2CEND$订阅源
浙江卫视,http://[2409:8087:1a09:df::401d]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225612/1.m3u8?icpid=88888888&from=5&hms_devid=980&online=1720054946&vqe=3$订阅源
湖南卫视,https://hlsbkmgsplive.miguvideo.com/wd-hunanhd-2500/01.m3u8?&HlsSubType=&encrypt=$订阅源
湖南卫视,https://hlsbkmgsplive.miguvideo.com/wd-hunanhd-1200/01.m3u8?&HlsSubType=&encrypt=$订阅源
湖南卫视,http://php.jdshipin.com/TVOD/gsyd.php?id=9900000523$订阅源
湖南卫视,http://php.jdshipin.com/TVOD/hnyd.php?id=200000001898/460000089800010058$订阅源
湖南卫视,http://php.jdshipin.com/TVOD/hljyd.php?id=3221225610$订阅源
北京卫视,http://php.jdshipin.com/TVOD/gsyd.php?id=9900000516$订阅源
北京卫视,http://php.jdshipin.com/TVOD/hnyd.php?id=200000001898/460000089800010143$订阅源
北京卫视,http://php.jdshipin.com/TVOD/hljyd.php?id=3221226450$订阅源
北京卫视,http://[2409:8087:8:21::18]:6610/otttv.bj.chinamobile.com/PLTV/88888888/224/3221226900/1.m3u8?GuardEncType=2&accountinfo=%7E%7EV2.0%7EcYPi33WFyhvd6SjmqUKhJg%7EtP4-l0lmSfjwLWEfK_el1vH_mv-s1zo4AQJwdedaVwG9xkuFTDg8J26cwOrNJzn20BErrHdLhuZ9EzLUCD3PMW-OMx4MGteHV2vLeW6BqoY%2CEND$订阅源
北京卫视,http://[2409:8087:1a09:df::401d]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226450/1.m3u8?icpid=88888888&from=5&hms_devid=980&online=1720054946&vqe=3$订阅源
湖北卫视,https://www.freetv.top/migu/738906825.m3u8?migutoken=959fce041a0fecbe0bdf2b300a4d13c986661650b877856aabade568eaf9f549143a65c212325030ca99ac119635c6c4daa7c93ba8863508e6aeef100965a31ae4a8152b02337aea453f42988d$订阅源
湖北卫视,http://php.jdshipin.com/TVOD/gsyd.php?id=9900000522$订阅源
湖北卫视,http://php.jdshipin.com/TVOD/hnyd.php?id=200000001898/460000089800010057$订阅源
湖北卫视,http://php.jdshipin.com/TVOD/hljyd.php?id=3221226477$订阅源
湖北卫视,http://[2409:8087:8:21::18]:6610/otttv.bj.chinamobile.com/PLTV/88888888/224/3221226952/1.m3u8?GuardEncType=2&accountinfo=%7E%7EV2.0%7EREB40lnZnCEwjRy7LZuhIQ%7EtP4-l0lmSfjwLWEfK_el1vH_mv-s1zo4AQJwdedaVwG9xkuFTDg8J26cwOrNJzn20BErrHdLhuZ9EzLUCD3PMW-OMx4MGteHV2vLeW6BqoY%2CEND$订阅源
黑龙江卫视,http://php.jdshipin.com/TVOD/gsyd.php?id=9900000521$订阅源
黑龙江卫视,http://php.jdshipin.com/TVOD/hnyd.php?id=200000001898/460000089800010056$订阅源
黑龙江卫视,http://php.jdshipin.com/TVOD/hljyd.php?id=3221226327$订阅源
黑龙江卫视,http://[2409:8087:8:21::18]:6610/otttv.bj.chinamobile.com/PLTV/88888888/224/3221226965/1.m3u8?GuardEncType=2&accountinfo=%7E%7EV2.0%7E7UiKL56-L86ihmTWaZ6csw%7EtP4-l0lmSfjwLWEfK_el1vH_mv-s1zo4AQJwdedaVwG9xkuFTDg8J26cwOrNJzn20BErrHdLhuZ9EzLUCD3PMW-OMx4MGteHV2vLeW6BqoY%2CEND$订阅源
黑龙江卫视,http://[2409:8087:1a09:df::401d]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226421/1.m3u8?icpid=88888888&from=5&hms_devid=980&online=1720054946&vqe=3$订阅源
安徽卫视,http://php.jdshipin.com/TVOD/gsyd.php?id=9900000514$订阅源
安徽卫视,http://php.jdshipin.com/TVOD/hnyd.php?id=200000001898/460000089800010041$订阅源
安徽卫视,http://php.jdshipin.com/TVOD/hljyd.php?id=3221226391$订阅源
